,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
471,1905622845285433392,Sat Mar 29 07:04:11 +0000 2025,0,@day_dreanner @AirinDatangLagi Burhanudin Jaksa Agung bertemu Erick Thohir Menteri BUMN malam hari pada 1 Maret 2025 untuk bahas kasus korupsi di PT Pertamina soal pengelolaan minyak mentah. Mia Amiati istri Burhanudin baru pensiun sebagai Kajati Jatim pada 27 Maret 2025 dan jadi komisaris Bank Mandiri,1905878638249062850,,day_dreanner,in,,0,1,0,https://x.com/undefined/status/1905878638249062850,1720665183188922368,
472,1905596427386192178,Sat Mar 29 06:59:30 +0000 2025,1,@Bambangmulyonoo mitranya pertamina nih biar beli bensin lagi,1905877461210144978,,Bambangmulyonoo,in,,0,0,0,https://x.com/undefined/status/1905877461210144978,1046537578873204737,
473,1905205857308086657,Sat Mar 29 06:54:06 +0000 2025,0,@kompascom Omon mulu. Tu 1000 triliun di maling Pertamina,1905876100720517144,,kompascom,in,,0,0,0,https://x.com/undefined/status/1905876100720517144,1810460724487155712,
474,1905831387774759262,Sat Mar 29 06:53:17 +0000 2025,0,@MARQUEZ__93 Terkait korupsi tata kelola Pertamina 1000 t itu mesti rakyat mengawal ketat spaya skandal tsb tidak tertutupi oleh skandal berikutnya yang mungkin saja dimunculkan kembali sperti BLBI HAM Hambalang..dll,1905875896990355789,,MARQUEZ__93,in,,0,1,0,https://x.com/undefined/status/1905875896990355789,1829401555327688704,
475,1905875761879568591,Sat Mar 29 06:52:45 +0000 2025,0,Selain memberikan harga yang lebih terjangkau lanjut dia Pertamina Patra Niaga juga menjamin stok BBM tersedia dalam kondisi aman dan mencukupi untuk memenuhi kebutuhan masyarakat selama masa mudik dan perayaan Idul Fitri 2025. #PertaminaPatraNiaga #TurunkanHargaPertamax https://t.co/X4UB9AzzHi,1905875761879568591,https://pbs.twimg.com/ext_tw_video_thumb/1905875643642130432/pu/img/rcm2jaxs4F6YBa3_.jpg,,in,,0,0,0,https://x.com/undefined/status/1905875761879568591,2421788773,
476,1905844800693084391,Sat Mar 29 06:50:32 +0000 2025,1,@leehangongju DAMN ternyata pmrth punya penglaris pertamina kayak mereka??,1905875204221337941,,healeride,in,,0,1,0,https://x.com/undefined/status/1905875204221337941,1758450597836226560,
477,1905873863264858113,Sat Mar 29 06:45:13 +0000 2025,1,PT Pertamina Patra Niaga Subholding Commercial &amp; Trading PT Pertamina (Persero) menurunkan harga bahan bakar minyak (BBM) nonsubsidi pertamax series dan dex series mulai hari ini Sabtu (29/3/2025) Pelaksana tugas (Plt) Direktur Utama Pertamina Patra Niaga Mars Ega Legowo https://t.co/LbqPFSFKTa,1905873863264858113,https://pbs.twimg.com/media/GnMGKqKbIAAIdRN.jpg,,in,,0,0,0,https://x.com/undefined/status/1905873863264858113,121640063,
478,1905871967221354533,Sat Mar 29 06:37:41 +0000 2025,0,tumben harga bensin pertamina turun tiba2 di akhir bulan,1905871967221354533,,,in,,0,0,0,https://x.com/undefined/status/1905871967221354533,1216028061252014080,
479,1905663771957494036,Sat Mar 29 06:37:36 +0000 2025,0,@AndiPitopang7 Ambil uang 1.000.000.000.000.000 hasil maling bos bos Pertamina ,1905871946723872911,,AndiPitopang7,in,,0,0,0,https://x.com/undefined/status/1905871946723872911,1593022983735742464,
480,1905871401128702120,Sat Mar 29 06:35:26 +0000 2025,13,PT Pertamina (Persero) melakukan penyesuaian harga jual bahan bakar minyak (BBM) non-subsidi atau atau jenis bahan bakar umum (JBU) yang berlaku mulai Sabtu (29/3/2025). . Semua jenis BBM non-subsidi Pertamina mengalami penurunan harga yaitu Pertamax Pertamax Turbo Dexlite https://t.co/dzMR9JQY0h,1905871401128702120,https://pbs.twimg.com/media/GnMD6ofbYAA-PnU.jpg,,in,,1,2,4,https://x.com/undefined/status/1905871401128702120,58880688,
481,1905663217784996269,Sat Mar 29 06:33:16 +0000 2025,0,@BennyHarmanID Spt biasanya saat baru memimpin/menjabat suka bicara besar awal... kesininya makin kesananya melempem spt kasus pagar laut pig2 dan pertamina hilang ditelan waktu,1905870858108760076,,BennyHarmanID,in,,0,0,0,https://x.com/undefined/status/1905870858108760076,898244877275742209,
482,1905870547063292218,Sat Mar 29 06:32:02 +0000 2025,0,Pertamina turunkan harga Pertamax Series per 29 Maret https://t.co/VQWEIYmODx https://t.co/7LxhLHwWE3,1905870547063292218,https://pbs.twimg.com/media/GnMDKB-bgAA3w7b.png,,in,,0,0,0,https://x.com/undefined/status/1905870547063292218,1482999200988434435,
483,1905663771957494036,Sat Mar 29 06:30:35 +0000 2025,0,@AndiPitopang7 @Gerindra @ImmanuelEbenez5 1000T uang. negara dikorupsi dikasus pertamina udah 2 bln. gak ada kabar dari kejaksaan PPATK kemana uangnya dan tikus raksasa mana yg bawa kabur. TNI Polri mohon bantuannya nyariin duitnya kas negara kosong warga juga udah makan tabungan,1905870182091751514,,AndiPitopang7,in,,0,0,0,https://x.com/undefined/status/1905870182091751514,1517909681855135744,
484,1905869902482993495,Sat Mar 29 06:29:28 +0000 2025,0,Kyknya ini ril... soalnya asesmen pertamina aja gw mikir kok gampang banget?? Tapi pas liat liat di grup juga ternyata banyak yg ga lolos dn ktanya susah. Pdhal gw gadak persiapan liat tipe soal jg engga kek yaudah gw kuliah dn melakukan hal lain trs waktunya tes ya tes,1905869902482993495,,,in,,0,1,0,https://x.com/undefined/status/1905869902482993495,1688385209983770624,
485,1905868315257700527,Sat Mar 29 06:23:10 +0000 2025,0,Mantap! Harga BBM Pertamina Non-Subsidi Turun Mulai 29 Maret 2025 https://t.co/Asn7Qm1B0O,1905868315257700527,,,in,,0,2,0,https://x.com/undefined/status/1905868315257700527,847372542830444544,
486,1905500171644891167,Sat Mar 29 06:20:57 +0000 2025,0,@BANGSAygSUJUD @prabowo @KejaksaanRI @adri_zizie @99propaganda @are_inismyname @bitCarli77 @florieliciouss @Kimberley_PS08 @Lembayung071 @IrawanRommi @gtobing2903 @Ndons_Back Kita tunggu korupsi pertamina...BUMN Kan seperti PT Timah minyak sawit...Coba asset nya Di sita Semua gak? Beritanya aja gak Ada lagi ...kerugian masyarakat n negara jelas angkanya hitungannya,1905867757276516751,,BANGSAygSUJUD,in,,0,0,0,https://x.com/undefined/status/1905867757276516751,1488864035886014471,
487,1905867733214060897,Sat Mar 29 06:20:51 +0000 2025,0,@pertamina Area Samarinda Balikpapan banyak kendaraan rusak brebet mesinnya. Tolong dtindak sblm viral ya makin jadi. Kirain cm pertalite yg brmasalah pertamax sampe k turbo ‍️‍️‍️ #pertamina,1905867733214060897,,pertamina,in,,0,0,0,https://x.com/undefined/status/1905867733214060897,112154213,
488,1905865385364041987,Sat Mar 29 06:11:31 +0000 2025,0,https://t.co/taD0jLBa05 Pertamina turunkan harga Pertamax Series mulai 29 Maret,1905865385364041987,,,in,,0,0,0,https://x.com/undefined/status/1905865385364041987,2421788773,
489,1905863238044250530,Sat Mar 29 06:02:59 +0000 2025,0,Patria niaga upaya pencitraan dintengah kasus Korupsi TSM oplosan BBM biar Publik tensi ngambuknya turun @pertamina @knpiharis @Hermansiregar15 @msaid_didu @aktivis98 @bemui @KejaksaanRI https://t.co/EplK0URHFW,1905863238044250530,,,in,,0,0,0,https://x.com/undefined/status/1905863238044250530,959695381,
490,1904176346085171569,Sat Mar 29 05:58:59 +0000 2025,0,@sishiw4ka @OerlognMoeldank @NenkMonica Klovsoal rentan udh dr semenjak didirikan KPK itu sdh rentan. Smnjak terbongkar mega korupsi di pertamina justru goncangan yg ditimbulkan semakin gila² apalagi kpd KPK.,1905862229246816335,,sishiw4ka,in,,0,1,0,https://x.com/undefined/status/1905862229246816335,171505851,
491,1905804461735649583,Sat Mar 29 05:54:13 +0000 2025,10,@KompasTV Gw mah tetep gak akan beli dr pertamina. Udh nggak sejak 2017.,1905861028677820710,,KompasTV,in,,0,1,0,https://x.com/undefined/status/1905861028677820710,231772107,
492,1905859725549256834,Sat Mar 29 05:49:02 +0000 2025,0,Hari ini Sabtu (29/3/2025) harga BBM nonsubsidi mengalami penurunan sesuai dengan Keputusan Menteri ESDM. PT Pertamina Patra Niaga menurunkan harga untuk mendukung kelancaran arus mudik Idulfitri. Simak selengkapnya: https://t.co/2Cyur5jTyQ https://t.co/Usl6s3rwWr,1905859725549256834,https://pbs.twimg.com/media/GnL5TlKaMAAyPYh.jpg,,in,,0,0,1,https://x.com/undefined/status/1905859725549256834,1582972008479920129,
